State,Amount of incentive,Type of PEV/vehicle,Type of incentive,Carpool lane access,Comments
Arizona,,BEVs,Lower vehicle licensing tax,Yes,Eligibility for PHEVs depends on the extent to which the vehicle is powered by electricity. Maximum of $75 available to individuals for installation of EV charging outlets.
California,"up to $2,500",BEVs,Purchase rebate,Yes,"Free access to HOVs through January 1, 2019, which also benefits natural gas vehicles and hydrogen fuel cell vehicles.[55] The amount of subsidies received is limited by annual income as of March 29, 2016."
California,"up to $2,500",PHEVs,Purchase rebate,Yes,"PHEV free access to HOV lanes until January 1, 2019.[56] The cap was originally for the first 70,000 applicants. The cap was later raised to 85,000 and the limit was reached in December 2015. Per SB-838, and effective as of September 13, 2016, the Green Clean Air Vehicle Decal limit imposed by AB 95 has been removed.[57]"
California,"up to $1,500",Electric motorcycles  and NEVs,Purchase rebate,Yes,All motorcycles have free access to HOV lanes.
Colorado,"up to $6,000",BEVs and PHEVs,Income tax credit,No,"Tax credit totaling 75 to 85% of the cost premium for a vehicle that uses or is converted to use an alternative fuel, is a hybrid electric vehicle or has its power source replaced with one that uses an alternative fuel. A 20% rebate also available for EV charger installation.[58]"
Connecticut,"up to $3,000","BEVs, PHEV",Rebate,No,"CHEAPR provides up to $3,000 for fuel cell EV, EV or plug-in hybrid electric vehicle. Rebates are offered on a first-come, first-served basis."
Delaware,"up to $2,200",EV,Rebate,No,Customers with at a grid-integrated EV may qualify to receive kilowatt-hour credits for energy discharged to the grid from the EV's battery at the same rate that the customer pays to charge the battery.
District of Columbia,,BEVs and PHEVs,Excise tax exemption and reduced registration fees,No,"A tax credit up to 50% of the equipment costs for the purchase and installation of electric vehicle charging station, up to $1,000 per residential install."
Florida,,BEVs and PHEVs,,Yes,"Access to HOVs through January 1, 2018 if displaying the EV decal. Florida Statutes protects consumers from additional charges from insurance providers from insuring electric vehicles."
Georgia,$0,ZEVs,Income tax credit,Yes,"Tax credit of 20% of the cost of a zero emission vehicle up to $5,000 purchased before July 1, 2015. Plug-in hybrids were not eligible for this incentive.[59] The incentive removal reduced sales of small EVs but had little effect on large EVs.[60]"
Georgia,"up to $2,500",Alternative fuel conversion,Income tax credit,Yes,"Tax credit of 10% of the conversion cost for a vehicle converted to run solely on an alternative fuel and meets the standards for a low-emission vehicle up to $2,500.[59]"
Georgia,"up to $20,000",Commercial AFVs,Income tax credit,Yes,"Tax credit for new commercial medium-duty or heavy-duty AFVs or Medium-duty hybrid EVs that operate using at least 90% alternative fuel, expires June 30, 2017.[61]"
Hawaii,,BEVs and PHEVs,Parking,Yes,Carpool lane access and reduced rates for electric vehicle charging. EVs with EV license plates are exempt from certain parking fees charged by any non-federal government authorities.
Idaho,,"BEVs, PHEV",Inspection Exemption,No,EVs are exempt from state motor vehicle inspection and maintenance programs.
Illinois,,"BEVs, PHEVs and conversions",Inspection Exemption,No,"Vehicles powered exclusively by electricity are exempt from state motor vehicle emissions inspections; this was suspended in March 2015. Covered 80% of cost premium or electric conversion price, up to $4,000."
Indiana,"up to $1,650","BEVs, PHEV",,No,"Credit to install residential charging station and free plug-in electric vehicle charging during off-peak hours until Jan. 31, 2017."
Louisiana,"up to $3,000","BEVs, PHEVs and conversions",Inspection Exemption,No,"Tax credit of 50% of cost premium for BEV/PHEV purchase, 50% of conversion cost, or a tax credit worth 10% of the cost of a new BEV/PHEV vehicle up to $3,000. This same credit also applies to charge station costs."
Maryland,"up to $3,000",BEVs and PHEVs,,Yes[62],"Plug-in EVs are eligible for an excise tax credit until July 1, 2020.[63] The state also offers a US$900 rebate for buying and installation of wall connectors for individuals; US$5,000 for business, or state or local governments; and US$7,000 for retail service station dealers.[64]"
Massachusetts,"up to $1,000",BEVs and PHEVs,Purchase rebate,,"Up to $1,000 rebate for purchasing PEVs, funds are limited.[65]"
Michigan,,"BEVs, PHEV",Inspection exemption,No,"Alternative fuel vehicles are exempt from emissions inspection requirements. Indiana Michigan Power, Consumers Energy and DTE Energy offer other incentives."
